dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.4049512730194979,-0.2296630958909489,-1.9447282124721923,1.6970652668892998,0.4166666666666667,0.5833333333333334,0.16666666666666666
income,low,31,-6.9239994547328605,-4.842027082012464,-19.016510596870646,0.3597183189300779,0.16129032258064516,0.8387096774193549,0.12903225806451613
income,middle,24,-3.9134996835335225,-2.3037428281846104,-11.942113840195232,0.6258543379392248,0.25,0.75,0.20833333333333334
age,25-44,26,-5.905083875573898,-4.140380057115593,-13.964913863382677,0.30830192251784894,0.19230769230769232,0.8076923076923077,0.15384615384615385
age,45-64,19,-4.40133927478265,-1.3578445085610014,-18.52040809123299,1.9821767892975735,0.3157894736842105,0.6842105263157895,0.05263157894736842
age,65+,10,-1.0307670631916124,-0.7090796598670508,-4.8612699873637615,1.3223750509226275,0.4,0.6,0.2
age,<25,12,-5.496841096670782,-1.7893814301193558,-12.131488692958987,-0.45085115366281914,0.08333333333333333,0.9166666666666666,0.3333333333333333
gender,f,31,-3.785816812273181,-1.8467080694614992,-12.226176119340863,1.6177253379168235,0.2903225806451613,0.7096774193548387,0.0
gender,m,36,-5.446307488813572,-2.047183165733358,-16.460357849384508,0.5300053865039018,0.19444444444444445,0.8055555555555556,0.3055555555555556
car_availability,always,61,-4.6485755994786295,-2.110801423406315,-13.28977773742507,1.2576506729241999,0.26229508196721313,0.7377049180327869,0.13114754098360656
car_availability,never,6,-4.977379868260125,-1.359614048166648,-13.120832762303792,-0.4516927943099347,0.0,1.0,0.5
employment,false,19,-4.78094957880958,-1.681433397783067,-18.427834686917112,0.9846254518927194,0.21052631578947367,0.7894736842105263,0.2631578947368421
employment,true,48,-4.637278099591149,-2.8929613439614386,-12.545256604766124,1.1896685698771348,0.25,0.75,0.125
