dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.15384615384615385,0.07692307692307693,-2.0987179487179484,8.779487179487178,32.71999999999998,-3.783333333333334
income,low,45,0.08888888888888889,0.24444444444444444,-11.217777777777776,12.759259259259254,46.466666666666654,-10.238518518518518
income,middle,30,0.2,0.3,-9.503333333333332,10.268888888888888,34.74166666666667,-5.480555555555554
age,25-44,33,0.12121212121212122,0.30303030303030304,-9.491919191919193,9.840909090909088,38.376666666666665,-8.746969696969694
age,45-64,26,0.038461538461538464,0.34615384615384615,-12.525641025641029,12.608333333333336,49.22500000000001,-8.02051282051282
age,65+,15,0.26666666666666666,0.0,-1.7122222222222219,14.737777777777778,39.12333333333332,-5.570000000000001
age,<25,14,0.21428571428571427,0.14285714285714285,-10.899999999999997,8.766666666666667,31.043333333333333,-6.685714285714285
gender,f,41,0.0,0.2682926829268293,-8.506910569105692,12.726016260162602,47.5,-8.81219512195122
gender,m,47,0.2553191489361702,0.2127659574468085,-9.965957446808508,10.09787234042553,38.81666666666664,-6.660283687943264
car_availability,always,82,0.12195121951219512,0.25609756097560976,-9.407926829268291,11.697764227642276,42.14500000000001,-7.560772357723574
car_availability,never,6,0.3333333333333333,0.0,-7.622222222222223,6.191666666666666,17.1125,-9.058333333333334
employment,false,25,0.24,0.12,-10.769333333333334,10.328666666666665,33.989999999999974,-9.533333333333331
employment,true,63,0.09523809523809523,0.2857142857142857,-8.697619047619048,11.716666666666669,42.089999999999996,-6.920634920634921
