dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
income,high,12,-0.5834592810087914,-0.33976882212107995,-2.2551134791093475,1.2261217463208651,0.3333333333333333,0.6666666666666666,0.16666666666666666
income,low,31,-7.046823195233948,-7.373910500755102,-15.359203885907164,1.6177253379168235,0.1935483870967742,0.8064516129032258,0.1935483870967742
income,middle,24,-4.055111662122845,-1.8126574152365507,-11.738761218663658,1.4984536511605693,0.3333333333333333,0.6666666666666666,0.20833333333333334
age,25-44,26,-5.6269539649563525,-3.713814331937961,-14.450445463452688,0.984759868522957,0.2692307692307692,0.7307692307692307,0.19230769230769232
age,45-64,19,-5.503178659877353,-2.3308661574034772,-14.439118780806652,1.9401327076737764,0.3157894736842105,0.6842105263157895,0.05263157894736842
age,65+,10,-1.6145917472664835,-1.0610997945015797,-4.424123528533161,0.9728700527728107,0.3,0.7,0.4
age,<25,12,-4.647382934675535,-1.64899185077644,-12.214311847243522,1.6746399547360815,0.16666666666666666,0.8333333333333334,0.25
gender,f,31,-3.858744083942968,-2.3308661574034772,-10.316037597246499,1.674969198111242,0.3225806451612903,0.6774193548387096,0.03225806451612903
gender,m,36,-5.643184547585393,-2.094742439023534,-16.855610731302512,0.8207530225785149,0.2222222222222222,0.7777777777777778,0.3333333333333333
car_availability,always,61,-4.935122067583821,-2.2178661262126695,-12.449742589620868,1.6177253379168235,0.2786885245901639,0.7213114754098361,0.18032786885245902
car_availability,never,6,-3.622210698782183,-0.7907702458332011,-12.862964038726481,2.787102188213133,0.16666666666666666,0.8333333333333334,0.3333333333333333
employment,false,19,-5.448810759066302,-1.681433397783067,-19.633762310863126,1.0045265144663174,0.21052631578947367,0.7894736842105263,0.3157894736842105
employment,true,48,-4.567673039438469,-2.5423100856596506,-12.43910144916245,1.6962868099118866,0.2916666666666667,0.7083333333333334,0.14583333333333334
