dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
income,high,13,0.15384615384615385,0.07692307692307693,1.3089743589743594,9.484615384615385,29.56666666666665,-3.078205128205129
income,low,45,0.13333333333333333,0.2,-15.685555555555556,12.82037037037037,48.85333333333331,-10.177407407407406
income,middle,30,0.2,0.13333333333333333,-9.473333333333333,10.106111111111112,29.86749999999998,-5.6433333333333335
age,25-44,33,0.15151515151515152,0.18181818181818182,-12.823737373737373,10.974747474747472,36.22333333333332,-7.613131313131313
age,45-64,26,0.038461538461538464,0.2692307692307692,-13.52179487179487,10.883974358974358,42.675000000000004,-9.744871794871795
age,65+,15,0.4,0.0,-4.181111111111111,15.706666666666669,42.959999999999965,-4.601111111111111
age,<25,14,0.14285714285714285,0.07142857142857142,-9.683333333333334,8.760714285714286,25.974166666666658,-6.691666666666667
gender,f,41,0.024390243902439025,0.1951219512195122,-8.493902439024392,12.061382113821136,43.2,-9.476829268292683
gender,m,47,0.2765957446808511,0.1276595744680851,-13.29326241134752,10.827304964539007,37.51166666666665,-5.930851063829788
car_availability,always,82,0.15853658536585366,0.17073170731707318,-11.849593495934956,11.56239837398374,41.056666666666665,-7.696138211382111
car_availability,never,6,0.16666666666666666,0.0,-0.22777777777777727,9.213888888888889,19.8625,-6.036111111111111
employment,false,25,0.28,0.08,-10.478666666666667,11.63533333333333,32.11333333333331,-8.226666666666667
employment,true,63,0.1111111111111111,0.19047619047619047,-11.286772486772485,11.30978835978836,41.013333333333335,-7.327513227513224
